ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
A,Agilent Technologies Inc.,stocks,us,XNYS,CS,True,usd,0001090872,BBG000C2V3D6,BBG001SCTQY4,2024-04-19T00:00:00Z
AA,Alcoa Corporation,stocks,us,XNYS,CS,True,usd,0001675149,BBG00B3T3HD3,BBG00B3T3HF1,2024-04-19T00:00:00Z
AACI,Armada Acquisition Corp. I Common Stock,stocks,us,XNAS,CS,True,usd,0001844817,BBG011XR7306,BBG011XR7315,2024-04-19T00:00:00Z
AACT,Ares Acquisition Corporation II,stocks,us,XNYS,CS,True,usd,0001853138,,,2024-04-19T00:00:00Z
AADI,"Aadi Bioscience, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001422142,BBG002WN7DT2,BBG002WN7DV9,2024-04-19T00:00:00Z
AAGR,African Agriculture Holdings Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001848898,BBG00ZKGK0R2,BBG00ZKGK109,2024-04-19T00:00:00Z
AAL,American Airlines Group Inc.,stocks,us,XNAS,CS,True,usd,0000006201,BBG005P7Q881,BBG005P7Q907,2024-04-19T00:00:00Z
AAMC,Altisource Asset Mgmt Corp,stocks,us,XASE,CS,True,usd,0001555074,BBG003PNL136,BBG003PNL145,2024-04-19T00:00:00Z
AAME,Atlantic American Corp,stocks,us,XNAS,CS,True,usd,0000008177,BBG000B9XB24,BBG001S5N8T1,2024-04-19T00:00:00Z
AAN,"The Aaron's Company, Inc.",stocks,us,XNYS,CS,True,usd,0001821393,BBG00WCNDCZ6,BBG00WCNDDH4,2024-04-19T00:00:00Z
AAOI,"Applied Optoelectronics, Inc.",stocks,us,XNAS,CS,True,usd,0001158114,BBG000D6VW15,BBG001SG47G4,2024-04-19T00:00:00Z
AAON,Aaon Inc,stocks,us,XNAS,CS,True,usd,0000824142,BBG000C2LZP3,BBG001S6CZK0,2024-04-19T00:00:00Z
AAP,ADVANCE AUTO PARTS INC,stocks,us,XNYS,CS,True,usd,0001158449,BBG000F7RCJ1,BBG001SD2SB2,2024-04-19T00:00:00Z
AAPL,Apple Inc.,stocks,us,XNAS,CS,True,usd,0000320193,BBG000B9XRY4,BBG001S5N8V8,2024-04-19T00:00:00Z
AAT,"AMERICAN ASSETS TRUST, INC.",stocks,us,XNYS,CS,True,usd,0001500217,BBG00161BCR0,BBG001TCBJS5,2024-04-19T00:00:00Z
AAXN,"Axon Enterprise, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001069183,BBG000BHJWG1,BBG001SB2HG5,2019-01-03T00:00:00Z
AB,"AllianceBernstein Holding, L.P.",stocks,us,XNYS,CS,True,usd,0000825313,BBG000B9WM03,BBG001S5N9S0,2024-04-19T00:00:00Z
ABAT,American Battery Technology Company Common Stock,stocks,us,XNAS,CS,True,usd,0001576873,BBG004M1KJN5,BBG004M1KJP3,2024-04-19T00:00:00Z
ABBV,ABBVIE INC.,stocks,us,XNYS,CS,True,usd,0001551152,BBG0025Y4RY4,BBG0025Y4RZ3,2024-04-19T00:00:00Z
ABCB,Ameris Bancorp,stocks,us,XNAS,CS,True,usd,0000351569,BBG000CDY3H5,BBG001S80PX7,2024-04-19T00:00:00Z
ABCL,AbCellera Biologics Inc. Common Shares,stocks,us,XNAS,CS,True,usd,0001703057,BBG00LLW2MF2,BBG00LLW2MH0,2024-04-19T00:00:00Z
ABEO,Abeona Therapeutics Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0000318306,BBG000DT5D52,BBG001S8T7K0,2024-04-19T00:00:00Z
ABG,"Asbury Automotive Group, Inc.",stocks,us,XNYS,CS,True,usd,0001144980,BBG000BKDWB5,BBG001S9B5H5,2024-04-19T00:00:00Z
ABIO,"ARCA biopharma, Inc.",stocks,us,XNAS,CS,True,usd,0000907654,BBG000BWNN28,BBG001SB1GL2,2024-04-19T00:00:00Z
ABL,"Abacus Life, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001814287,BBG00VY1KB95,BBG00VY1KBC1,2024-04-19T00:00:00Z
ABLLL,"Abacus Life, Inc. 9.875% Fixed Rate Senior Notes due 2028",stocks,us,XNAS,CS,True,usd,0001814287,,,2024-04-19T00:00:00Z
ABLV,Able View Global Inc. Class B Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001957489,,,2024-04-19T00:00:00Z
